Jun 25 04:30:18 astra kernel: [33253.908898] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:33:19 astra kernel: [33435.409909] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:33:19 astra kernel: [33435.409955] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:36:23 astra kernel: [33619.730497] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:36:23 astra kernel: [33619.730507] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:39:25 astra kernel: [33801.233986] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:39:31 astra kernel: [33807.380228] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:42:33 astra kernel: [33989.142323] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:42:51 astra kernel: [34007.571080] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:45:56 astra kernel: [34191.892321] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:45:56 astra kernel: [34191.892331] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:49:00 astra kernel: [34376.466887] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:49:06 astra kernel: [34382.610840] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:52:11 astra kernel: [34566.948678] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:52:17 astra kernel: [34573.074940] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:55:19 astra kernel: [34754.835334] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:55:25 astra kernel: [34760.977343] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:58:26 astra kernel: [34942.494403] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:58:32 astra kernel: [34948.627770] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:01:38 astra kernel: [35134.226865] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:01:38 astra kernel: [35134.226912] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:04:40 astra kernel: [35316.497969] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:04:46 astra kernel: [35322.642808] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:07:51 astra kernel: [35507.220800] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:07:57 astra kernel: [35513.367203] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:11:02 astra kernel: [35698.450099] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:11:02 astra kernel: [35698.450145] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:14:07 astra kernel: [35883.062359] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:14:07 astra kernel: [35883.062370] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:17:08 astra kernel: [36064.800231] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:17:21 astra kernel: [36077.081278] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:20:23 astra kernel: [36258.806173] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:20:26 astra kernel: [36261.874327] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:23:30 astra kernel: [36446.447372] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:23:52 astra kernel: [36467.953772] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:26:57 astra kernel: [36653.039499] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:27:03 astra kernel: [36659.183091] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:30:05 astra kernel: [36841.199554] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:30:11 astra kernel: [36847.343846] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:33:16 astra kernel: [37031.919426] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:33:22 astra kernel: [37038.064876] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:36:26 astra kernel: [37222.383163] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:36:32 astra kernel: [37228.533031] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:39:38 astra kernel: [37414.383395] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:39:44 astra kernel: [37420.535383] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:42:47 astra kernel: [37602.799847] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:42:53 astra kernel: [37608.944132] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:45:58 astra kernel: [37794.038712] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:46:04 astra kernel: [37800.181008] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:49:05 astra kernel: [37981.310634] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:49:05 astra kernel: [37981.311017] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:52:10 astra kernel: [38165.999335] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:52:16 astra kernel: [38172.151634] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:55:19 astra kernel: [38354.927762] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:55:37 astra kernel: [38373.359615] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:58:39 astra kernel: [38555.375069] nfs: server 192.168.57.11 not responding, timed out
Jun 25 05:58:39 astra kernel: [38555.375080] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:01:41 astra kernel: [38736.881655] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:01:41 astra kernel: [38736.881703] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:04:46 astra kernel: [38922.224384] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:04:52 astra kernel: [38928.367925] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:07:54 astra kernel: [39109.871743] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:08:00 astra kernel: [39116.020185] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:11:04 astra kernel: [39300.121981] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:11:10 astra kernel: [39306.236192] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:14:12 astra kernel: [39488.260584] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:14:12 astra kernel: [39488.260592] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:17:17 astra kernel: [39673.393807] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:17:23 astra kernel: [39679.534794] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:20:28 astra kernel: [39863.779471] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:20:28 astra kernel: [39863.779480] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:23:32 astra kernel: [40048.098042] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:23:38 astra kernel: [40054.242300] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:26:42 astra kernel: [40238.561727] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:26:48 astra kernel: [40244.712929] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:29:54 astra kernel: [40430.049579] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:29:54 astra kernel: [40430.049589] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:32:58 astra kernel: [40614.370335] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:33:04 astra kernel: [40620.513845] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:36:06 astra kernel: [40802.021104] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:36:12 astra kernel: [40808.165244] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:39:13 astra kernel: [40989.409164] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:39:13 astra kernel: [40989.412416] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:42:15 astra kernel: [41171.173711] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:42:21 astra kernel: [41177.314875] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:45:23 astra kernel: [41359.073302] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:45:23 astra kernel: [41359.073310] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:48:25 astra kernel: [41540.837365] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:48:28 astra kernel: [41544.166060] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:51:30 astra kernel: [41726.434279] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:51:36 astra kernel: [41732.669597] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:54:39 astra kernel: [41915.113082] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:54:39 astra kernel: [41915.113091] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:57:39 astra kernel: [42095.329667] nfs: server 192.168.57.11 not responding, timed out
Jun 25 06:57:42 astra kernel: [42098.405882] nfs: server 192.168.57.11 not responding, timed out
